id,title,citation,testament,categories,law_type,penalty,agency,confidence,summary
deu-022-023-cry-out-rule,The City and the Field — the Cry-Out Rule and the Bride-Price Marriage,Deuteronomy 22:23-29,Old,Sexual; Judicial; Family,statute,"City case: both parties stoned. Field case: the man alone dies; the woman is explicitly cleared, 'there is... no sin worthy of death.' Unbetrothed case: fifty shekels to the father and mandatory, permanent marriage, with the perpetual-marriage clause functioning as the woman's only stated 'remedy.'",Family Purity Administration (FPA),high,"Three linked cases graded entirely by geography and evidence, not by consent: a betrothed woman assaulted in the city is presumed complicit and stoned alongside her attacker because a city-dweller could theoretically be heard; the same woman assaulted in an open field is presumed innocent, because no one could have heard her cry for help; and an unbetrothed virgin who is 'found' with a man must be married to him for life, at a fixed bride-price, with no right of divorce ever granted him."
exo-012-015-purge-the-leaven,Put Away Leaven; Eat Unleavened Bread (the Purge),Exodus 12:15,Old,Festival; Ceremonial; Dietary,command,Being 'cut off from Israel' — the same karet exclusion as the uncircumcised.,Bureau of Daily Bread (BDB),high,"During the seven days of Unleavened Bread, all leaven must be purged from the house and only unleavened bread eaten; eating leavened bread means being 'cut off from Israel.'"
exo-016-019-daily-bread-no-hoarding,"Gather Daily, Leave None Till Morning (the Manna Rule)",Exodus 16:19-20,Old,Economic; Ceremonial,statute,"The hoarded portion spoils — 'bred worms, and stank.' The punishment is built into the bread.",Bureau of Daily Bread (BDB),high,The manna in the wilderness had to be gathered daily and eaten the same day; what was hoarded 'bred worms and stank.' A law of daily dependence and against accumulation.
exo-020-003-no-other-gods,No Other Gods,Exodus 20:3,Old,Religious; Moral; Governmental,prohibition,"None stated here; elsewhere death (Ex 22:20, Deut 13:6-10) and covenant curses.",Office of Idolatry Prevention (OIP),high,"The first commandment: exclusive allegiance to YHWH. No rival deities may be acknowledged, worshipped, or ranked alongside him."
exo-020-004-no-graven-images,No Graven Images,Exodus 20:4,Old,Religious; Ceremonial,prohibition,None stated in the verse; idolaters elsewhere face death (Deut 27:15 curses the image-maker).,Office of Idolatry Prevention (OIP),high,"Prohibits manufacturing carved cult images — read literally, any likeness of anything in sky, earth, or sea."
exo-020-005-no-bowing-to-images,No Bowing to or Serving Images; Transgenerational Punishment,Exodus 20:5-6,Old,Religious; Judicial,prohibition,Divine sanction: iniquity 'visited' on descendants to the third and fourth generation.,Department of Righteousness (DOR),high,"Forbids venerating or serving images, and attaches a sanction principle: guilt runs downstream three to four generations; loyalty earns mercy to thousands."
exo-020-007-name-in-vain,The Name Not in Vain,Exodus 20:7,Old,Religious; Moral; Judicial,prohibition,'The LORD will not hold him guiltless' — divine sanction; blasphemy earns death by stoning in Lev 24:16.,Sacred Speech Commission (SSC),high,"Forbids empty, deceitful, or profane use of God's name — in its original setting, chiefly false oaths sworn by YHWH."
exo-020-008-remember-the-sabbath,Remember the Sabbath,Exodus 20:8-11,Old,Religious; Ceremonial; Economic; Festival,command,"Death (Ex 31:14-15, Numbers 15:32-36); here, none stated.",Bureau of Sabbath Observance (BSO),high,"Mandates a weekly work stoppage for the whole household economy — children, servants, livestock, and resident foreigners included — grounded in God's rest after creation."
exo-020-012-honor-father-and-mother,Honor Father and Mother,Exodus 20:12,Old,Family; Moral,command,"None here (reward stated instead); striking or cursing a parent is death (Ex 21:15,17); the incorrigible son is stoned (Deut 21:18-21).",Department of Family Order (DFO),high,"Positive duty of honor toward both parents, with a stated reward: long tenure in the land. The only commandment with an attached promise."
exo-020-013-thou-shalt-not-kill,Thou Shalt Not Kill,Exodus 20:13,Old,Moral; Civil; Judicial,prohibition,Death for murder (Ex 21:12); exile to refuge for manslaughter (Num 35).,Covenant Courts,high,"Prohibits unlawful killing. The Hebrew verb (ratsach) targets murder and manslaughter of persons within the community, not all killing — war, execution, and animal slaughter proceed under other statutes."
